genre,sold by,daily average.amazon revenue,daily average.author revenue,daily average.gross sales,daily average.publisher revenue,daily average.units sold,publisher.name,publisher.type,statistics.average rating,statistics.sale price,statistics.sales rank,statistics.total reviews,PublisherId
nonfiction,"Amazon Digital Services,  Inc.",7.774,7.774,38.87,23.322,13,(Small or Medium Publisher),small/medium,3.75,2.99,14456,8,7635
nonfiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Small or Medium Publisher),small/medium,4.75,0.99,14458,24,7636
nonfiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0,13,(Indie Publisher),indie,3.32,2.99,14459,31,7637
genre fiction,"Amazon Digital Services,  Inc.",15.561,36.309,51.87,0,13,(Indie Publisher),indie,4.36,3.99,14462,19,7638
genre fiction,Hachette Book Group,23.374,23.374,116.87,70.122,13,"Little, Brown and Company",big five,0,8.99,14462,0,7639
genre fiction,"Amazon Digital Services,  Inc.",10.374,10.374,51.87,31.122,13,(Single-Author Publisher),single author,4.29,3.99,14464,41,7640
nonfiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Small or Medium Publisher),small/medium,4.61,0.99,14469,44,7641
genre fiction,Macmillan,17.758,17.758,88.79,53.274,13,Minotaur Books,big five,4.59,6.83,14470,77,7642
nonfiction,HarperCollins Publishers,25.402,25.402,127.01,76.206,13,HarperBusiness,big five,4.61,9.77,14471,119,7643
genre fiction,Macmillan,23.114,23.114,115.57,69.342,13,St. Martin's Press,big five,4.59,8.89,14474,114,7644
genre fiction,Simon and Schuster Digital Sales Inc,21.996,21.996,109.98,65.988,13,Scribner,big five,3.47,8.46,14476,223,7645
nonfiction,"Amazon Digital Services,  Inc.",23.374,23.374,116.87,70.122,13,(Small or Medium Publisher),small/medium,4.29,8.99,14477,187,7646
nonfiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0,13,(Indie Publisher),indie,4.27,2.99,14480,11,7647
children,HarperCollins Publishers,15.548,15.548,77.74,46.644,13,HarperCollins,big five,4.75,5.98,14483,110,7648
children,"Amazon Digital Services,  Inc.",5.174,5.174,25.87,15.522,13,(Small or Medium Publisher),small/medium,4.47,1.99,14488,224,7649
genre fiction,"Amazon Digital Services,  Inc.",19.461,45.409,64.87,0,13,(Indie Publisher),indie,5,4.99,14489,11,7650
nonfiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0,13,(Indie Publisher),indie,4.66,2.99,14493,106,7651
children,Penguin Group (USA) LLC,6.214,6.214,31.07,18.642,13,DK Publishing,big five,0,2.39,14495,0,7652
genre fiction,"Amazon Digital Services,  Inc.",20.774,20.774,103.87,62.322,13,(Small or Medium Publisher),small/medium,4.73,7.99,14499,203,7653
foreign language,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Single-Author Publisher),single author,4.41,0.99,14501,63,7654
children,Simon and Schuster Digital Sales Inc,28.574,28.574,142.87,85.722,13,Aladdin,big five,4.59,10.99,14504,74,7655
genre fiction,Hachette Book Group,14.872,14.872,74.36,44.616,13,"Little, Brown Books for Young Readers",big five,4.27,5.72,14507,202,7656
nonfiction,"Amazon Digital Services,  Inc.",24.7,24.7,123.5,74.1,13,(Small or Medium Publisher),small/medium,4.61,9.5,14510,36,7657
nonfiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0,13,(Indie Publisher),indie,4.4,2.99,14514,44,7658
nonfiction,HarperCollins Publishers,20.774,20.774,103.87,62.322,13,HarperCollins e-books,big five,4.62,7.99,14521,328,7659
genre fiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Small or Medium Publisher),small/medium,4.09,0.99,14528,31,7660
genre fiction,Random House LLC,29.692,29.692,148.46,89.076,13,Random House Trade Paperbacks,big five,3.87,11.42,14531,375,7661
genre fiction,"Amazon Digital Services,  Inc.",15.561,36.309,51.87,0,13,(Indie Publisher),indie,4.86,3.99,14532,120,7662
nonfiction,"Amazon Digital Services,  Inc.",5.174,5.174,25.87,15.522,13,(Small or Medium Publisher),small/medium,4.18,1.99,14534,135,7663
genre fiction,"Amazon Digital Services,  Inc.",10.894,10.894,54.47,32.682,13,(Small or Medium Publisher),small/medium,4.14,4.19,14539,54,7664
nonfiction,Simon and Schuster Digital Sales Inc,19.786,19.786,98.93,59.358,13,Atheneum Books for Young Readers,big five,4.12,7.61,14541,306,7665
genre fiction,Simon and Schuster Digital Sales Inc,17.758,17.758,88.79,53.274,13,Pocket Books/Star Trek,big five,4.31,6.83,14546,35,7666
nonfiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Small or Medium Publisher),small/medium,4.82,0.99,14546,28,7667
nonfiction,"Amazon Digital Services,  Inc.",15.561,36.309,51.87,0,13,(Indie Publisher),indie,4.86,3.99,14547,22,7668
nonfiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0,13,(Indie Publisher),indie,2.62,2.99,14561,8,7669
genre fiction,"Amazon Digital Services,  Inc.",10.374,10.374,51.87,31.122,13,(Single-Author Publisher),single author,3.9,3.99,14568,52,7670
nonfiction,"Amazon Digital Services,  Inc.",17.979,41.951,59.93,0,13,(Indie Publisher),indie,4.43,4.61,14572,16,7671
genre fiction,Hachette Book Group,25.974,25.974,129.87,77.922,13,"Little, Brown Books for Young Readers",big five,4.33,9.99,14575,195,7672
nonfiction,"Amazon Digital Services,  Inc.",31.174,31.174,155.87,93.522,13,(Small or Medium Publisher),small/medium,4.66,11.99,14578,12,7673
genre fiction,Simon and Schuster Digital Sales Inc,22.178,22.178,110.89,66.534,13,Pocket Books,big five,4.45,8.53,14582,511,7674
nonfiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0,13,(Indie Publisher),indie,3.35,2.99,14582,14,7675
genre fiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Small or Medium Publisher),small/medium,4.53,0.99,14589,49,7676
nonfiction,"Amazon Digital Services,  Inc.",15.392,15.392,76.96,46.176,13,(Small or Medium Publisher),small/medium,4.29,5.92,14590,205,7677
nonfiction,"Amazon Digital Services,  Inc.",38.974,38.974,194.87,116.922,13,(Small or Medium Publisher),small/medium,4.21,14.99,14591,94,7678
genre fiction,Macmillan,23.114,23.114,115.57,69.342,13,Tor Books,big five,0,8.89,14594,0,7679
nonfiction,"Amazon Digital Services,  Inc.",16.8155,9.0545,25.87,0,13,(Indie Publisher),indie,3.66,1.99,14596,212,7680
genre fiction,"Amazon Digital Services,  Inc.",19.461,45.409,64.87,0,13,(Indie Publisher),indie,4.33,4.99,14598,135,7681
fiction,"Amazon Digital Services,  Inc.",15.561,36.309,51.87,0,13,(Indie Publisher),indie,4.28,3.99,14599,152,7682
nonfiction,"Amazon Digital Services,  Inc.",15.561,36.309,51.87,0,13,(Indie Publisher),indie,4.76,3.99,14603,42,7683
nonfiction,Simon and Schuster Digital Sales Inc,32.188,32.188,160.94,96.564,13,Atria Books,big five,4.08,12.38,14608,268,7684
genre fiction,"Amazon Digital Services,  Inc.",15.561,36.309,51.87,0,13,(Indie Publisher),indie,4.3,3.99,14610,204,7685
genre fiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0,13,(Indie Publisher),indie,4.06,2.99,14611,15,7686
nonfiction,Random House LLC,25.974,25.974,129.87,77.922,13,Broadway Books,big five,4.5,9.99,14611,136,7687
nonfiction,Simon and Schuster Digital Sales Inc,17.758,17.758,88.79,53.274,13,Scribner,big five,4.49,6.83,14614,493,7688
nonfiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Single-Author Publisher),single author,5,0.99,14618,7,7689
genre fiction,"Amazon Digital Services,  Inc.",3.9,3.9,19.5,11.7,13,(Single-Author Publisher),single author,4.5,1.5,14620,270,7690
nonfiction,"Amazon Digital Services,  Inc.",22.048,22.048,110.24,66.144,13,(Small or Medium Publisher),small/medium,4.53,8.48,14623,464,7691
genre fiction,"Amazon Digital Services,  Inc.",8.45,8.45,42.25,25.35,13,(Small or Medium Publisher),small/medium,4.5,3.25,14626,20,7692
genre fiction,"Amazon Digital Services,  Inc.",20.774,20.774,103.87,62.322,13,(Single-Author Publisher),single author,5,7.99,14628,9,7693
nonfiction,"Amazon Digital Services,  Inc.",36.66,85.54,122.2,0,13,(Indie Publisher),indie,4.15,9.4,14630,72,7694
nonfiction,"Amazon Digital Services,  Inc.",5.174,5.174,25.87,15.522,13,(Small or Medium Publisher),small/medium,4.41,1.99,14635,12,7695
nonfiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Single-Author Publisher),single author,3,0.99,14637,4,7696
nonfiction,"Amazon Digital Services,  Inc.",13.988,13.988,69.94,41.964,13,(Small or Medium Publisher),small/medium,4.47,5.38,14639,138,7697
nonfiction,"Amazon Digital Services,  Inc.",22.074,22.074,110.37,66.222,13,(Small or Medium Publisher),small/medium,4.8,8.49,14640,30,7698
nonfiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Small or Medium Publisher),small/medium,5,0.99,14641,2,7699
nonfiction,"Amazon Digital Services,  Inc.",5.174,5.174,25.87,15.522,13,(Small or Medium Publisher),small/medium,4.61,1.99,14644,214,7700
genre fiction,HarperCollins Publishers,28.574,28.574,142.87,85.722,13,William Morrow,big five,4.09,10.99,14652,222,7701
nonfiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Small or Medium Publisher),small/medium,4.75,0.99,14652,4,7702
nonfiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0,13,(Indie Publisher),indie,4.88,2.99,14654,9,7703
nonfiction,"Amazon Digital Services,  Inc.",41.6,41.6,208,124.8,13,(Small or Medium Publisher),small/medium,4.18,16,14655,16,7704
children,Random House LLC,9.854,9.854,49.27,29.562,13,Random House Books for Young Readers,big five,4.65,3.79,14656,76,7705
genre fiction,Random House LLC,25.974,25.974,129.87,77.922,13,Bantam,big five,4.11,9.99,14658,59,7706
nonfiction,HarperCollins Publishers,2.574,2.574,12.87,7.722,13,HarperCollins e-books,big five,3.7,0.99,14661,17,7707
genre fiction,"Amazon Digital Services,  Inc.",8.3655,4.5045,12.87,0,13,(Indie Publisher),indie,4.42,0.99,14662,7,7708
nonfiction,"Amazon Digital Services,  Inc.",15.574,15.574,77.87,46.722,13,(Small or Medium Publisher),small/medium,4.3,5.99,14663,73,7709
nonfiction,"Amazon Digital Services,  Inc.",10.374,10.374,51.87,31.122,13,(Single-Author Publisher),single author,4.7,3.99,14663,48,7710
nonfiction,Random House LLC,33.8,33.8,169,101.4,13,Knopf,big five,4.8,13,14666,36,7711
children,HarperCollins Publishers,13.182,13.182,65.91,39.546,13,HarperCollins,big five,4.47,5.07,14670,123,7712
nonfiction,Penguin Group (USA) LLC,31.174,31.174,155.87,93.522,13,Putnam Adult,big five,4.42,11.99,14672,185,7713
children,"Amazon Digital Services,  Inc.",20.774,20.774,103.87,62.322,13,(Small or Medium Publisher),small/medium,4.38,7.99,14672,165,7714
genre fiction,"Amazon Digital Services,  Inc.",15.561,36.309,51.87,0,13,(Indie Publisher),indie,4.4,3.99,14673,126,7715
children,"Amazon Digital Services,  Inc.",8.45,4.55,13,0,13,Two Lions,amazon,4.35,1,14674,31,7716
genre fiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Small or Medium Publisher),small/medium,4.09,0.99,14677,10,7717
nonfiction,Random House LLC,31.174,31.174,155.87,93.522,13,Bantam,big five,4.16,11.99,14678,6,7718
genre fiction,"Amazon Digital Services,  Inc.",31.2,72.8,104,0,13,(Indie Publisher),indie,4.08,8,14686,47,7719
genre fiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Single-Author Publisher),single author,5,0.99,14689,3,7720
genre fiction,HarperCollins Publishers,17.264,17.264,86.32,51.792,13,William Morrow Paperbacks,big five,4.55,6.64,14699,267,7721
nonfiction,"Amazon Digital Services,  Inc.",10.374,10.374,51.87,31.122,13,(Single-Author Publisher),single author,4.62,3.99,14700,8,7722
nonfiction,Simon and Schuster Digital Sales Inc,23.582,23.582,117.91,70.746,13,Simon & Schuster,big five,4.75,9.07,14702,93,7723
children,Hachette Book Group,25.974,25.974,129.87,77.922,13,"Little, Brown and Company",big five,0,9.99,14704,0,7724
fiction,"Amazon Digital Services,  Inc.",7.774,7.774,38.87,23.322,13,(Single-Author Publisher),single author,5,2.99,14706,2,7725
genre fiction,"Amazon Digital Services,  Inc.",19.461,45.409,64.87,0,13,(Indie Publisher),indie,5,4.99,14707,2,7726
children,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Small or Medium Publisher),small/medium,4.01,0.99,14716,57,7727
genre fiction,Penguin Group (USA) LLC,17.758,17.758,88.79,53.274,13,Signet,big five,4.23,6.83,14722,231,7728
genre fiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0,13,(Indie Publisher),indie,4.16,2.99,14726,107,7729
genre fiction,Macmillan,33.124,33.124,165.62,99.372,13,Tor Books,big five,0,12.74,14729,0,7730
genre fiction,HarperCollins Publishers,20.8,20.8,104,62.4,13,HarperTeen,big five,4.59,8,14736,103,7731
nonfiction,Random House LLC,28.444,28.444,142.22,85.332,13,Anchor,big five,4.07,10.94,14737,232,7732
nonfiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Single-Author Publisher),single author,4.5,0.99,14738,8,7733
fiction,"Amazon Digital Services,  Inc.",5.174,5.174,25.87,15.522,13,(Small or Medium Publisher),small/medium,4.15,1.99,14740,13,7734
nonfiction,"Amazon Digital Services,  Inc.",24.882,24.882,124.41,74.646,13,(Small or Medium Publisher),small/medium,4.13,9.57,14743,29,7735
genre fiction,Penguin Group (USA) LLC,15.574,15.574,77.87,46.722,13,Jove,big five,3.92,5.99,14748,165,7736
fiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Small or Medium Publisher),small/medium,4.72,0.99,14750,11,7737
nonfiction,"Amazon Digital Services,  Inc.",71.474,71.474,357.37,214.422,13,(Small or Medium Publisher),small/medium,4.46,27.49,14752,346,7738
nonfiction,Random House LLC,25.974,25.974,129.87,77.922,13,Anchor,big five,3.97,9.99,14753,390,7739
nonfiction,"Amazon Digital Services,  Inc.",8.3655,4.5045,12.87,0,13,(Indie Publisher),indie,4.74,0.99,14753,138,7740
genre fiction,Random House LLC,17.758,17.758,88.79,53.274,13,Spectra,big five,3.67,6.83,14756,518,7741
nonfiction,"Amazon Digital Services,  Inc.",8.3655,4.5045,12.87,0,13,(Indie Publisher),indie,3.6,0.99,14757,140,7742
nonfiction,HarperCollins Publishers,25.402,25.402,127.01,76.206,13,HarperCollins e-books,big five,4.04,9.77,14759,520,7743
genre fiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0,13,(Indie Publisher),indie,4.69,2.99,14760,56,7744
genre fiction,"Amazon Digital Services,  Inc.",12.974,12.974,64.87,38.922,13,(Single-Author Publisher),single author,3.12,4.99,14762,24,7745
genre fiction,"Amazon Digital Services,  Inc.",5.174,5.174,25.87,15.522,13,(Small or Medium Publisher),small/medium,4,1.99,14767,3,7746
nonfiction,"Amazon Digital Services,  Inc.",6.5,6.5,32.5,19.5,13,(Small or Medium Publisher),small/medium,3.69,2.5,14768,42,7747
genre fiction,"Amazon Digital Services,  Inc.",12.974,12.974,64.87,38.922,13,(Single-Author Publisher),single author,5,4.99,14769,1,7748
nonfiction,Penguin Group (USA) LLC,25.974,25.974,129.87,77.922,13,Celebra,big five,4.89,9.99,14771,384,7749
genre fiction,"Amazon Digital Services,  Inc.",10.374,10.374,51.87,31.122,13,(Single-Author Publisher),single author,4.35,3.99,14778,183,7750
foreign language,"Amazon Digital Services,  Inc.",22.386,22.386,111.93,67.158,13,(Small or Medium Publisher),small/medium,4.49,8.61,14788,117,7751
children,"Amazon Digital Services,  Inc.",7.774,7.774,38.87,23.322,13,(Single-Author Publisher),single author,5,2.99,14788,1,7752
genre fiction,Hachette Book Group,25.974,25.974,129.87,77.922,13,Orbit,big five,4.42,9.99,14789,61,7753
nonfiction,HarperCollins Publishers,2.574,2.574,12.87,7.722,13,HarperCollins e-books,big five,3.52,0.99,14792,23,7754
nonfiction,"Amazon Digital Services,  Inc.",10.374,10.374,51.87,31.122,13,(Small or Medium Publisher),small/medium,4.83,3.99,14795,6,7755
nonfiction,"Amazon Digital Services,  Inc.",11.817,27.573,39.39,0,13,(Indie Publisher),indie,4.14,3.03,14804,7,7756
fiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Single-Author Publisher),single author,3.66,0.99,14805,9,7757
genre fiction,"Amazon Digital Services,  Inc.",9.932,9.932,49.66,29.796,13,(Small or Medium Publisher),small/medium,4.57,3.82,14806,14,7758
nonfiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Single-Author Publisher),single author,4.64,0.99,14813,39,7759
children,HarperCollins Publishers,15.548,15.548,77.74,46.644,13,HarperCollins,big five,4.79,5.98,14814,136,7760
nonfiction,"Amazon Digital Services,  Inc.",38.961,90.909,129.87,0,13,(Indie Publisher),indie,4.55,9.99,14815,18,7761
genre fiction,"Amazon Digital Services,  Inc.",7.774,7.774,38.87,23.322,13,(Single-Author Publisher),single author,4.45,2.99,14816,92,7762
genre fiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0,13,(Indie Publisher),indie,4.68,2.99,14818,70,7763
genre fiction,"Amazon Digital Services,  Inc.",33.7155,18.1545,51.87,0,13,Thomas & Mercer,amazon,4.11,3.99,14821,171,7764
children,HarperCollins Publishers,15.392,15.392,76.96,46.176,13,HarperCollins,big five,4.39,5.92,14821,683,7765
nonfiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Small or Medium Publisher),small/medium,3.83,0.99,14828,24,7766
nonfiction,Random House LLC,30.784,30.784,153.92,92.352,13,Doubleday,big five,4.34,11.84,14829,66,7767
nonfiction,Penguin Group (USA) LLC,38.61,38.61,193.05,115.83,13,Viking Adult,big five,4.57,14.85,14834,227,7768
nonfiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Small or Medium Publisher),small/medium,4.1,0.99,14836,83,7769
fiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Small or Medium Publisher),small/medium,4,0.99,14836,17,7770
genre fiction,HarperCollins Publishers,9.854,9.854,49.27,29.562,13,HarperCollins e-books,big five,4.18,3.79,14837,182,7771
nonfiction,Simon and Schuster Digital Sales Inc,28.964,28.964,144.82,86.892,13,Scribner,big five,4.23,11.14,14838,200,7772
genre fiction,"Amazon Digital Services,  Inc.",10.374,10.374,51.87,31.122,13,(Small or Medium Publisher),small/medium,4.09,3.99,14839,21,7773
nonfiction,"Amazon Digital Services,  Inc.",8.3655,4.5045,12.87,0,13,(Indie Publisher),indie,3.23,0.99,14841,13,7774
genre fiction,"Amazon Digital Services,  Inc.",16.8155,9.0545,25.87,0,13,(Indie Publisher),indie,4.5,1.99,14850,2,7775
nonfiction,"Amazon Digital Services,  Inc.",22.438,22.438,112.19,67.314,13,(Small or Medium Publisher),small/medium,4.86,8.63,14852,95,7776
nonfiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0,13,(Indie Publisher),indie,5,2.99,14853,6,7777
nonfiction,"Amazon Digital Services,  Inc.",18.174,18.174,90.87,54.522,13,(Single-Author Publisher),single author,4.27,6.99,14856,86,7778
nonfiction,Hachette Book Group,33.774,33.774,168.87,101.322,13,Grand Central Life & Style,big five,4.14,12.99,14862,84,7779
genre fiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0,13,(Indie Publisher),indie,4.3,2.99,14869,218,7780
nonfiction,Simon and Schuster Digital Sales Inc,26.988,26.988,134.94,80.964,13,Atria Books,big five,3.77,10.38,14870,198,7781
nonfiction,Random House LLC,25.974,25.974,129.87,77.922,13,Ballantine Books,big five,4.59,9.99,14871,205,7782
genre fiction,"Amazon Digital Services,  Inc.",10.374,10.374,51.87,31.122,13,(Single-Author Publisher),single author,4.56,3.99,14872,117,7783
genre fiction,HarperCollins Publishers,22.178,22.178,110.89,66.534,13,Katherine Tegen Books,big five,4.51,8.53,14872,135,7784
nonfiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Small or Medium Publisher),small/medium,4.02,0.99,14873,40,7785
genre fiction,Macmillan,10.374,10.374,51.87,31.122,13,FSG Originals,big five,3.73,3.99,14875,194,7786
genre fiction,"Amazon Digital Services,  Inc.",7.774,7.774,38.87,23.322,13,(Small or Medium Publisher),small/medium,4.61,2.99,14878,18,7787
genre fiction,"Amazon Digital Services,  Inc.",19.461,45.409,64.87,0,13,(Indie Publisher),indie,4.57,4.99,14883,40,7788
nonfiction,Penguin Group (USA) LLC,20.774,20.774,103.87,62.322,13,Portfolio,big five,4.24,7.99,14883,177,7789
genre fiction,"Amazon Digital Services,  Inc.",8.3655,4.5045,12.87,0,13,(Indie Publisher),indie,4.4,0.99,14885,10,7790
genre fiction,"Amazon Digital Services,  Inc.",15.561,36.309,51.87,0,13,(Indie Publisher),indie,4.58,3.99,14886,12,7791
genre fiction,"Amazon Digital Services,  Inc.",11.986,11.986,59.93,35.958,13,(Small or Medium Publisher),small/medium,4.87,4.61,14888,8,7792
genre fiction,"Amazon Digital Services,  Inc.",9.724,9.724,48.62,29.172,13,(Small or Medium Publisher),small/medium,4.22,3.74,14889,18,7793
genre fiction,"Amazon Digital Services,  Inc.",7.774,7.774,38.87,23.322,13,(Single-Author Publisher),single author,4.38,2.99,14895,114,7794
genre fiction,"Amazon Digital Services,  Inc.",8.45,4.55,13,0,13,(Indie Publisher),indie,4.83,1,14896,12,7795
nonfiction,"Amazon Digital Services,  Inc.",5.174,5.174,25.87,15.522,13,(Small or Medium Publisher),small/medium,4.59,1.99,14897,49,7796
genre fiction,"Amazon Digital Services,  Inc.",42.1655,22.7045,64.87,0,13,Thomas & Mercer,amazon,4.54,4.99,14898,22,7797
nonfiction,HarperCollins Publishers,33.124,33.124,165.62,99.372,13,HarperBusiness,big five,0,12.74,14900,0,7798
nonfiction,HarperCollins Publishing,19.994,19.994,99.97,59.982,13,Zondervan,big five,4.84,7.69,14902,369,7799
genre fiction,"Amazon Digital Services,  Inc.",23.361,54.509,77.87,0,13,(Indie Publisher),indie,4.34,5.99,14904,240,7800
genre fiction,"Amazon Digital Services,  Inc.",9.932,9.932,49.66,29.796,13,(Small or Medium Publisher),small/medium,4,3.82,14907,1,7801
nonfiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0,13,(Indie Publisher),indie,4.33,2.99,14907,9,7802
nonfiction,"Amazon Digital Services,  Inc.",8.3655,4.5045,12.87,0,13,(Indie Publisher),indie,4.86,0.99,14911,23,7803
genre fiction,"Amazon Digital Services,  Inc.",15.561,36.309,51.87,0,13,(Indie Publisher),indie,4.52,3.99,14912,40,7804
nonfiction,"Amazon Digital Services,  Inc.",7.774,7.774,38.87,23.322,13,(Single-Author Publisher),single author,5,2.99,14913,4,7805
nonfiction,"Amazon Digital Services,  Inc.",7.774,7.774,38.87,23.322,13,(Single-Author Publisher),single author,4.43,2.99,14914,44,7806
genre fiction,"Amazon Digital Services,  Inc.",8.3655,4.5045,12.87,0,13,(Indie Publisher),indie,4.4,0.99,14916,5,7807
nonfiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Small or Medium Publisher),small/medium,4.36,0.99,14917,49,7808
nonfiction,"Amazon Digital Services,  Inc.",25.974,25.974,129.87,77.922,13,(Single-Author Publisher),single author,4.86,9.99,14918,189,7809
nonfiction,"Amazon Digital Services,  Inc.",24.7,24.7,123.5,74.1,13,(Small or Medium Publisher),small/medium,4.6,9.5,14919,137,7810
nonfiction,"Amazon Digital Services,  Inc.",22.88,22.88,114.4,68.64,13,(Small or Medium Publisher),small/medium,4.47,8.8,14928,140,7811
nonfiction,HarperCollins Publishers,33.124,33.124,165.62,99.372,13,HarperCollins e-books,big five,4.5,12.74,14929,90,7812
genre fiction,"Amazon Digital Services,  Inc.",15.561,36.309,51.87,0,13,(Indie Publisher),indie,3.91,3.99,14930,210,7813
nonfiction,"Amazon Digital Services,  Inc.",14.859,34.671,49.53,0,13,(Indie Publisher),indie,3.95,3.81,14934,49,7814
genre fiction,"Amazon Digital Services,  Inc.",15.561,36.309,51.87,0,13,(Indie Publisher),indie,4.53,3.99,14940,43,7815
genre fiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0,13,(Indie Publisher),indie,4.55,2.99,14943,25,7816
nonfiction,"Amazon Digital Services,  Inc.",6.5,6.5,32.5,19.5,13,(Small or Medium Publisher),small/medium,4.72,2.5,14944,11,7817
fiction,"Amazon Digital Services,  Inc.",8.3655,4.5045,12.87,0,13,(Indie Publisher),indie,3.24,0.99,14949,65,7818
children,"Amazon Digital Services,  Inc.",12.974,12.974,64.87,38.922,13,(Small or Medium Publisher),small/medium,4.42,4.99,14950,184,7819
children,"Amazon Digital Services,  Inc.",19.994,19.994,99.97,59.982,13,(Small or Medium Publisher),small/medium,4.78,7.69,14950,74,7820
nonfiction,"Amazon Digital Services,  Inc.",7.774,7.774,38.87,23.322,13,(Single-Author Publisher),single author,0,2.99,14952,0,7821
nonfiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0,13,(Indie Publisher),indie,4.3,2.99,14955,260,7822
nonfiction,"Amazon Digital Services,  Inc.",8.3655,4.5045,12.87,0,13,(Indie Publisher),indie,3.75,0.99,14958,41,7823
genre fiction,"Amazon Digital Services,  Inc.",15.561,36.309,51.87,0,13,(Indie Publisher),indie,4.4,3.99,14959,155,7824
nonfiction,"Amazon Digital Services,  Inc.",10.374,10.374,51.87,31.122,13,(Single-Author Publisher),single author,4.24,3.99,14960,165,7825
genre fiction,"Amazon Digital Services,  Inc.",13.988,13.988,69.94,41.964,13,(Small or Medium Publisher),small/medium,4.02,5.38,14964,42,7826
nonfiction,HarperCollins Publishers,29.822,29.822,149.11,89.466,13,HarperBusiness,big five,5,11.47,14968,1,7827
genre fiction,"Amazon Digital Services,  Inc.",17.134,17.134,85.67,51.402,13,(Small or Medium Publisher),small/medium,4.57,6.59,14969,100,7828
nonfiction,"Amazon Digital Services,  Inc.",15.561,36.309,51.87,0,13,(Indie Publisher),indie,3.8,3.99,14970,5,7829
genre fiction,Random House LLC,15.574,15.574,77.87,46.722,13,LucasBooks,big five,3.44,5.99,14974,304,7830
nonfiction,"Amazon Digital Services,  Inc.",9.932,9.932,49.66,29.796,13,(Single-Author Publisher),single author,4.77,3.82,14981,93,7831
nonfiction,"Amazon Digital Services,  Inc.",8.3655,4.5045,12.87,0,13,(Indie Publisher),indie,0,0.99,14982,0,7832
genre fiction,Macmillan,23.114,23.114,115.57,69.342,13,St. Martin's Press,big five,4.63,8.89,14983,132,7833
nonfiction,"Amazon Digital Services,  Inc.",12.974,12.974,64.87,38.922,13,(Single-Author Publisher),single author,3.84,4.99,14984,262,7834
genre fiction,"Amazon Digital Services,  Inc.",7.774,7.774,38.87,23.322,13,(Single-Author Publisher),single author,4.33,2.99,14985,3,7835
children,"Amazon Digital Services,  Inc.",11.986,11.986,59.93,35.958,13,(Small or Medium Publisher),small/medium,4.51,4.61,14987,98,7836
genre fiction,"Amazon Digital Services,  Inc.",7.774,7.774,38.87,23.322,13,(Single-Author Publisher),single author,3.9,2.99,14990,52,7837
nonfiction,Penguin Group (USA) LLC,25.974,25.974,129.87,77.922,13,Penguin Books,big five,4.62,9.99,14990,528,7838
nonfiction,Random House LLC,28.574,28.574,142.87,85.722,13,Crown Archetype,big five,4.65,10.99,14992,38,7839
nonfiction,Hachette Book Group,25.974,25.974,129.87,77.922,13,Business Plus,big five,4.23,9.99,14997,231,7840
